类型,处理状态,危险程度,时间,事件名称,事件次数,源IP,目的IP,协议摘要,上报设备,区域,规则编号,流行程度,攻击手段,服务类型,网络接口,动作,源MAC地址,源端口,目的MAC地址,目的端口,原始报文长度,原始报文内容
灰名单,已处理,中风险,2018-11-06 15:06:45,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt')""""></a>"";@begin=201809;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201809;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt;@bbq=20180903;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D5;@tbr=;@end=201811;@bxm=03;rptid=CX_T04;hiddencalcparams=true;@exm=01;@submitdate=20181008;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,33302,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0UVpOS0ROT0wxNFRSWTdNWkwyWjlTU1VZQ0paS0JEUFgucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDklM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA5JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRRWk5LRE5PTDE0VFJZN01aTDJaOVNTVVlDSlpLQkRQWC5ycHQlM0IlNDBiYnElM0QyMDE4MDkwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
灰名单,已处理,中风险,2018-11-06 15:06:32,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt')""""></a>"";@begin=201809;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201809;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt;@bbq=20180903;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D4;@tbr=;@end=201811;@bxm=03;rptid=CX_T03;hiddencalcparams=true;@exm=01;@submitdate=20181008;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,31368,00:00:5E:00:01:0A,80,684,WUNJVFVUUCUyNDIlMjRRWk5LRE5PTDE0VFJZN01aTDJaOVNTVVlDSlpLQkRQWC5ycHQnKSUyMiUyMiUzRSVFNiU5NSVCMCVFNiU4RCVBRSVFNiU5RiVBNSVFOCVBRiVBMiUzQyUyRmElM0UlMjIlM0IlNDBiZWdpbiUzRDIwMTgwOSUzQnRhc2tpZCUzRFVDVDBNTlYwVU1VU1hONENOQklOTTBEVUJZQ0lUVVRQJTNCJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0JvcmdfJTQwYnhtJTNEJUU2JTlDJTg4JTNCb3JnXyU0MGVuZCUzRDIwMTglRTUlQjklQjQxMSVFNiU5QyU4OCUzQm9yZ18lNDBiYW5rY29kZSUzRDM2MTEwMDAwMDQwMSUzQiU0MHRjb2RlJTNEJTNCc3RhcnRpbmRleCUzRDAlM0JvcmdfJTQwYmVnaW4lM0QyMDE4JUU1JUI5JUI0MDklRTYlOUMlODglM0Jfc3JjcnB0aWQlM0QxMiUyNFVDVDBNTlYwVU1VU1hONENOQklOTTBEVUJZQ0lUVVRQJTI0MiUyNFFaTktETk9MMTRUUlk3TVpMMlo5U1NVWUNKWktCRFBYLnJwdCUzQiU0MGJicSUzRDIwMTgwOTAzJTNCb3JnXyU0MHRjb2RlJTNEJTNCJTQ=
灰名单,已处理,中风险,2018-11-06 15:06:20,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt')""""></a>"";@begin=201809;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201809;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt;@bbq=20180903;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D3;@tbr=;@end=201811;@bxm=03;rptid=CX_T02;hiddencalcparams=true;@exm=01;@submitdate=20181008;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,29901,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0UVpOS0ROT0wxNFRSWTdNWkwyWjlTU1VZQ0paS0JEUFgucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDklM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA5JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRRWk5LRE5PTDE0VFJZN01aTDJaOVNTVVlDSlpLQkRQWC5ycHQlM0IlNDBiYnElM0QyMDE4MDkwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
灰名单,已处理,中风险,2018-11-06 15:06:07,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt')""""></a>"";@begin=201809;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201809;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$QZNKDNOL14TRY7MZL2Z9SSUYCJZKBDPX.rpt;@bbq=20180903;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D2;@tbr=;@end=201811;@bxm=03;rptid=CX_T01;hiddencalcparams=true;@exm=01;@submitdate=20181008;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,28539,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0UVpOS0ROT0wxNFRSWTdNWkwyWjlTU1VZQ0paS0JEUFgucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDklM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA5JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRRWk5LRE5PTDE0VFJZN01aTDJaOVNTVVlDSlpLQkRQWC5ycHQlM0IlNDBiYnElM0QyMDE4MDkwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
灰名单,已处理,中风险,2018-11-06 15:02:15,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt')""""></a>"";@begin=201808;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201808;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt;@bbq=20180803;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D5;@tbr=;@end=201811;@bxm=03;rptid=CX_T04;hiddencalcparams=true;@exm=01;@submitdate=20180903;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,52336,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0Q0VVTEw5U0kwMk05UVFCRVJYUkVTTjg3SU1FVVc3OVkucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDglM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA4JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRDRVVMTDlTSTAyTTlRUUJFUlhSRVNOODdJTUVVVzc5WS5ycHQlM0IlNDBiYnElM0QyMDE4MDgwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
灰名单,已处理,中风险,2018-11-06 15:01:58,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt')""""></a>"";@begin=201808;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201808;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt;@bbq=20180803;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D4;@tbr=;@end=201811;@bxm=03;rptid=CX_T03;hiddencalcparams=true;@exm=01;@submitdate=20180903;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,50020,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0Q0VVTEw5U0kwMk05UVFCRVJYUkVTTjg3SU1FVVc3OVkucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDglM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA4JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRDRVVMTDlTSTAyTTlRUUJFUlhSRVNOODdJTUVVVzc5WS5ycHQlM0IlNDBiYnElM0QyMDE4MDgwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
灰名单,已处理,中风险,2018-11-06 15:00:36,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt')""""></a>"";@begin=201808;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201808;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt;@bbq=20180803;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D3;@tbr=;@end=201811;@bxm=03;rptid=CX_T02;hiddencalcparams=true;@exm=01;@submitdate=20180903;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,42149,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0Q0VVTEw5U0kwMk05UVFCRVJYUkVTTjg3SU1FVVc3OVkucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDglM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA4JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRDRVVMTDlTSTAyTTlRUUJFUlhSRVNOODdJTUVVVzc5WS5ycHQlM0IlNDBiYnElM0QyMDE4MDgwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
灰名单,已处理,中风险,2018-11-06 15:00:24,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt')""""></a>"";@begin=201808;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201808;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$CEULL9SI02M9QQBERXRESN87IMEUW79Y.rpt;@bbq=20180803;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D2;@tbr=;@end=201811;@bxm=03;rptid=CX_T01;hiddencalcparams=true;@exm=01;@submitdate=20180903;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,40544,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0Q0VVTEw5U0kwMk05UVFCRVJYUkVTTjg3SU1FVVc3OVkucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDglM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA4JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRDRVVMTDlTSTAyTTlRUUJFUlhSRVNOODdJTUVVVzc5WS5ycHQlM0IlNDBiYnElM0QyMDE4MDgwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
灰名单,已处理,中风险,2018-11-06 14:57:39,Web服务远程跨站脚本执行攻击,1,223.104.6.68,10.3.33.30,TCP.HTTP C URL=/CCBIS/B2CMainPlat_05_EPAY PARAM=CCB_PWD_MAP_GIGEST=javascript:void(0);javascript:openWin();javascript:CheckInput();|Z HOST=ibsbjstar.ccb.com.cn,11.170.236.111(新一代汇聚层),北京新一代,29002,低,获取权限攻击,CGI,T1/1,中风险,0C:DA:41:6B:D7:00,33937,00:50:56:87:15:15,80,1764,UklEPSZTTUVSTkFNRTE9JlNNRVJUWVBFSUQ9JlNNRVJUWVBFMT0mVFJBREVDT0RFPSZUUkFERU5BTUU9JlNNRVBST1RZUEU9JlBST05BTUU9JlRJTUVPVVQ9JlBBWU1FTlQ9MzAuMDAmQlJBTkNISUQ9MTEwMDAwMDAwJk1FUkJSQU5DSD0xMTAwMDAwMDAmVHJ4RGV2Y0luZj0yMjMuMTA0LjYuNjglN0MlN0MlN0MlN0MlN0MlN0MlN0MmT1JERVJJRD02OTE3ODU2OCZNRVJDSEFOVElEPTEwNTEwMDAwMDAxODY1NCZSUEZsZz0xJlB5ZXJBY2N0SXNzcklkPUMxMDEwNTExMDAzNzAzJlB5ZXJBY2N0VHA9MDAmUHllclRyeFRybVRwPSZQeWVyVHJ4VHJtTm89JlB5ZWVBY2N0SXNzcklkPVoyMDE0MzExMDAwMDEwJlB5ZWVBY2N0SWQ9MTAwMDY1JlB5ZWVObT0lRTUlQjklQkYlRTUlQjclOUUlRTUlQjglODYlRTclOUUlQUMlRTglQjQlQjglRTYlOTglOTMlRTYlOUMlODklRTklOTklOTAlRTUlODUlQUMlRTUlOEYlQjgmUHllZUFjY3RUcD0wNCZQeWVlQ3RyeU5vPSZQeWVlQXJlYU5vPSZQeWVlVHJ4VHJtVHA9Jkluc3RnQWNjdElkPTIxMDQwMTM1NCZJbnN0Z0FjY3RObT0lRTYlQjElODclRTUlODUlODMlRTklOTMlQjYlRTklODAlOUElRUYlQkMlODglRTUlOEMlOTclRTQlQkElQUMlRUYlQkMlODklRTUlOUMlQTglRTclQkElQkYlRTYlOTQlQUYlRTQlQkIlOTglRTYlOEElODAlRTYlOUMlQUYlRTYlOUMlODklRTklOTklOTAlRTUlODUlQUMlRTUlOEYlQjglRTUlQUUlQTIlRTYlODglQjclRTUlQTQlODclRTQlQkIlOTglRTklODclOTEmUmVzZmRBY2N0SXNzcklkPVoyMDE0MzExMDAwMDEwJkJpelRwPTEwMDAwNyZQbHRmcm1ObT0mQ0JGbGc9MDEmR3dDaG5ubFRwPTAxJlB5ZWVUcnhUcm1Obz0mUE9TSUQ9MDA3NTA3NjM1JkxtdEFjY3RUcD0wMiZUcnhJZD0yMDE4MTEwNjAwMDAwMDAwNjkxNzg1NjgwMjExMTA1JlRyeER0VG09MjAxOC0xMS0wNlQxNCUzQTU1JTNBMTImT3JkckRlc2M9SWEyd1d4VVVUNHpQZWVwSUNJRHN4SWc2b1lLWHo1QTF3ZHd6OXJnWDA3R2dBY2dzc3RxVTJFRWRtbkRoZWFWUVNsQ25mNzFrbVYzTGI2a0ltUTNTZkNWVnlKREZmVTB4bUdEamFJRllXcjExcDkyT2ZxZ09vamxKZXhDZ2RyMXlTRENYcG0xOFg4T3hnWUM5Sm5xaGZhJk9yZHJFeHA9MjAxOC0xMS0wNlQxNyUzQTU1JTNBMTQmQ2xiY2tVcmw9VHFhc3ExZmVwTHFWVzRCZ2lMYVFuJTJDOVBYMkJCWW5xUE1xaWx5cFZkbGI3RlBsNGlZV2g5Tm5JZlY2YzR6ellmZzZ1OVd3cGVmYXE5RHB2VWtxd0pOeTZlcjJBQWExd1FESE1aUlNaVmZaMlZsWDBaell1OUZqWFFWWGtJTDclMkNTVkg3UUp6NWdUcXZaRTRMaG5ick5meXRQeXFHVlV6YXJzWCZUcnhDdGd5PTAxMTI=
灰名单,已处理,中风险,2018-11-06 14:57:33,Web服务远程跨站脚本执行攻击,1,29.2.4.11,100.1.95.1,"TCP.HTTP C URL=/bi/exportrpt.sa PARAM=calcparam=pagesize=1000;@bankname=;drillpath=""<a class=""""tdlink"""" href=""""javascript:_showreportindrillpath('12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$L9U5VDCZFUJ4UET9OVW2AB8I4M9TNJ1Q.rpt')""""></a>"";@begin=201807;taskid=UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP;@bankcode=361100000401;org_@bxm=;org_@end=201811;org_@bankcode=361100000401;@tcode=;startindex=0;org_@begin=201807;_srcrptid=12$UCT0MNV0UMUSXN4CNBINM0DUBYCITUTP$2$L9U5VDCZFUJ4UET9OVW2AB8I4M9TNJ1Q.rpt;@bbq=20180703;org_@tcode=;@loginfo=;bi_calc_dont_save_result=true;_srccell=D5;@tbr=;@end=201811;@bxm=03;rptid=CX_T04;hiddencalcparams=true;@exm=01;@submitdate=20180801;@tel2=8311951;@fzr=;org_@exm= HOST=asone.safe",11.50.229.66(7号楼外联网),武汉南湖,29002,低,获取权限攻击,CGI,G3/1,中风险,00:10:DB:FF:10:01,22174,00:00:5E:00:01:0A,80,684,QllDSVRVVFAlMjQyJTI0TDlVNVZEQ1pGVUo0VUVUOU9WVzJBQjhJNE05VE5KMVEucnB0JyklMjIlMjIlM0UlRTYlOTUlQjAlRTYlOEQlQUUlRTYlOUYlQTUlRTglQUYlQTIlM0MlMkZhJTNFJTIyJTNCJTQwYmVnaW4lM0QyMDE4MDclM0J0YXNraWQlM0RVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUzQiU0MGJhbmtjb2RlJTNEMzYxMTAwMDAwNDAxJTNCb3JnXyU0MGJ4bSUzRCVFNiU5QyU4OCUzQm9yZ18lNDBlbmQlM0QyMDE4JUU1JUI5JUI0MTElRTYlOUMlODglM0JvcmdfJTQwYmFua2NvZGUlM0QzNjExMDAwMDA0MDElM0IlNDB0Y29kZSUzRCUzQnN0YXJ0aW5kZXglM0QwJTNCb3JnXyU0MGJlZ2luJTNEMjAxOCVFNSVCOSVCNDA3JUU2JTlDJTg4JTNCX3NyY3JwdGlkJTNEMTIlMjRVQ1QwTU5WMFVNVVNYTjRDTkJJTk0wRFVCWUNJVFVUUCUyNDIlMjRMOVU1VkRDWkZVSjRVRVQ5T1ZXMkFCOEk0TTlUTkoxUS5ycHQlM0IlNDBiYnElM0QyMDE4MDcwMyUzQm9yZ18lNDB0Y29kZSUzRCUzQiU=
